par-1,par-2,par-3,par-4,par-5,par-6,pkc-3
par-1,par-2,par-3,par-4,par-5,par-6,pkc-3
absent,absent,absent,absent,absent,absent,absent
skn-1,glp-1,par-2,glp-1,par-3,par-2,par-2
mislocalized,mislocalized,mislocalized,mislocalized,mislocalized,mislocalized,mislocalized
95,18.5,95,100,95,95,95
2.5,63,2.5,0,2.5,2.5,2.5
2.5,18.5,2.5,0,2.5,2.5,2.5
100,100,100,100,100,100,100
0,0,0,0,0,0,0
0,0,0,0,0,0,0
100,100,100,100,100,100,100
0,0,0,0,0,0,0
0,0,0,0,0,0,0
pie-1,par-1,par-1,,mex-5,par-1,par-1
absent,mislocalized,mislocalized,,mislocalized,mislocalized,mislocalized
glp-1,95,95,,72,95,95
mislocalized,2.5,2.5,,28,2.5,2.5
95,2.5,2.5,,0,2.5,2.5
2.5,100,100,,100,100,100
2.5,0,0,,0,0,0
100,0,0,,0,0,0
0,100,100,,100,100,100
0,0,0,,0,0,0
100,0,0,,0,0,0
0,par-3,glp-1,,,glp-1,glp-1
0,mislocalized,mislocalized,,,mislocalized,mislocalized
par-3,95,38.5,,,38.5,38.5
mislocalized,2.5,23,,,23,23
95,2.5,38.5,,,38.5,38.5
2.5,100,100,,,100,100
2.5,0,0,,,0,0
100,0,0,,,0,0
0,100,100,,,100,100
0,0,0,,,0,0
100,0,0,,,0,0
0,,,,,,
0,,,,,,
par-3,,,,,,
mislocalized,,,,,,
95,,,,,,
2.5,,,,,,
2.5,,,,,,
100,,,,,,
0,,,,,,
0,,,,,,
100,,,,,,
0,,,,,,
0,,,,,,
mex-3,,,,,,
mislocalized,,,,,,
95,,,,,,
2.5,,,,,,
2.5,,,,,,
100,,,,,,
0,,,,,,
0,,,,,,
100,,,,,,
0,,,,,,
0,,,,,,
mex-5,,,,,,
mislocalized,,,,,,
95,,,,,,
2.5,,,,,,
2.5,,,,,,
100,,,,,,
0,,,,,,
0,,,,,,
100,,,,,,
0,,,,,,
0,,,,,,
