pal-1,I,1,0,pie-1,A,pal-1,A,,,,
skn-1,I,1,0,pie-1,A,skn-1,A,,,,
pal-1,I,1,0,skn-1,A,pal-1,A,,,,
pal-1,I,1,0,mex-3,A,pal-1,A,,,,
pkc-3,I,1,26,par-2,A,pkc-3,A,,,,
par-6,I,1,26,par-2,A,par-6,A,,,,
par-3,I,1,26,par-2,A,par-3,A,,,,
pkc-3,I,1,26,par-1,A,pkc-3,A,,,,
par-6,I,1,26,par-1,A,par-6,A,,,,
par-3,I,1,26,par-1,A,par-3,A,,,,
par-2,I,1,26,par-3,A,par-6,A,pkc-3,A,par-2,A
par-1,I,1,26,par-3,A,par-1,A,,,,
par-3,A,1,26,mex-5,A,par-3,I,,,,
par-3,A,1,26,mex-5,A,par-6,I,,,,
par-3,A,1,26,mex-5,A,pkc-3,I,,,,
pie-1,I,1,26,mex-5,A,pie-1,A,,,,
skn-1,A,1,0,pie-1,I,,,,,,
pal-1,A,1,0,pie-1,I,skn-1,I,,,,
skn-1,A,1,0,pie-1,N,,,,,,
pal-1,A,1,0,pie-1,N,skn-1,N,,,,
dpy-7,A,1,0,skn-1,A,mig-10,N,,,,
